City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
175,Avarua,-21.2078,-159.775,82.45,83,20,13.8,CK,2022-01-26 22:23:37
176,Cabinda,-5.55,12.2,77.7,89,69,3.96,AO,2022-01-26 22:23:37
177,Kharitonovo,61.4009,47.4978,-0.15,100,94,2.1,RU,2022-01-26 22:23:37
178,Nizwa,22.9333,57.5333,61.97,52,6,0.98,OM,2022-01-26 22:23:38
179,Marana,32.4367,-111.2254,69.35,19,0,4.61,US,2022-01-26 22:23:38
180,Glendive,47.1053,-104.7125,36.7,75,100,23.02,US,2022-01-26 22:23:39
181,Mutoko,-17.397,32.2268,62.4,97,100,2.68,ZW,2022-01-26 22:23:39
182,Faya,18.3851,42.4509,53.71,82,29,5.66,SA,2022-01-26 22:23:39
183,Ahtopol,42.1,27.95,37.87,68,85,7.76,BG,2022-01-26 22:24:39
184,Kamsack,51.5667,-101.9009,28.85,85,100,18.01,CA,2022-01-26 22:24:40
185,Ribeira Grande,38.5167,-28.7,59.79,77,15,14.32,PT,2022-01-26 22:24:40
186,Kahului,20.8947,-156.47,81.97,62,20,16.11,US,2022-01-26 22:24:41
187,Nijar,36.9665,-2.206,53.24,62,0,16.11,ES,2022-01-26 22:24:41
188,Nalut,30.3333,10.85,41.38,51,74,9.69,LY,2022-01-26 22:24:42
189,Viedma,-40.8135,-62.9967,66.83,45,0,13.15,AR,2022-01-26 22:24:42
190,Umm Lajj,25.0213,37.2685,63.86,49,8,10.58,SA,2022-01-26 22:24:16
191,La Plata,-34.9215,-57.9545,74.98,70,100,20.67,AR,2022-01-26 22:20:48
192,Olavarria,-36.8927,-60.3225,65.3,51,47,16.62,AR,2022-01-26 22:24:42
193,Torbay,47.6666,-52.7314,37.76,97,75,8.05,CA,2022-01-26 22:24:43
194,Buta,2.7858,24.73,76.55,35,97,0.81,CD,2022-01-26 22:24:43
195,Padang,-0.9492,100.3543,75.25,81,100,3.87,ID,2022-01-26 22:24:43
196,Arraial Do Cabo,-22.9661,-42.0278,80.56,69,0,11.5,BR,2022-01-26 22:24:44
197,Rocha,-34.4833,-54.3333,70.92,93,100,9.4,UY,2022-01-26 22:24:44
198,Hearst,49.6835,-83.6665,14.25,78,100,19.44,CA,2022-01-26 22:24:44
199,Horsham,51.064,-0.3272,45.01,87,75,5.75,GB,2022-01-26 22:24:45
200,Bambous Virieux,-20.3428,57.7575,71.22,83,20,3.44,MU,2022-01-26 22:24:15
201,Kodiak,57.79,-152.4072,35.11,87,100,9.22,US,2022-01-26 22:24:45
202,Deputatskiy,69.3,139.9,-13.92,91,100,5.17,RU,2022-01-26 22:24:45
203,Carnarvon,-24.8667,113.6333,75.27,78,100,18.41,AU,2022-01-26 22:24:46
204,Vysha,53.8477,42.3777,-0.17,100,95,4.18,RU,2022-01-26 22:24:46
205,Harrisburg,40.2737,-76.8844,26.58,51,75,3.0,US,2022-01-26 22:20:36
206,Havre-Saint-Pierre,50.2334,-63.5986,1.99,65,0,5.75,CA,2022-01-26 22:24:47
207,Phichit,16.25,100.4167,76.01,45,7,1.54,TH,2022-01-26 22:24:47
208,Tucuman,-26.8241,-65.2226,71.6,88,100,9.22,AR,2022-01-26 22:24:47
209,Dingzhou,38.5131,114.9956,26.71,48,77,2.71,CN,2022-01-26 22:24:47
210,Bathsheba,13.2167,-59.5167,77.61,73,75,11.5,BB,2022-01-26 22:24:15
211,Labuhan,-6.8844,112.2051,77.61,89,99,8.86,ID,2022-01-26 22:24:48
212,Mogwase,-25.185,27.2665,71.62,54,99,4.63,ZA,2022-01-26 22:24:48
213,Vila Velha,-20.3297,-40.2925,77.45,80,0,5.99,BR,2022-01-26 22:23:57
214,Canutama,-6.5339,-64.3831,76.37,88,100,1.01,BR,2022-01-26 22:24:49
215,Santiago Del Estero,-27.7951,-64.2615,79.38,85,99,8.25,AR,2022-01-26 22:24:49
216,Kamiiso,41.8167,140.65,21.58,86,75,3.44,JP,2022-01-26 22:24:49
217,Shache,38.4167,77.2406,29.71,51,7,5.26,CN,2022-01-26 22:24:50
218,Iwanai,42.9744,140.5089,28.27,86,99,9.35,JP,2022-01-26 22:24:50
219,Rawson,-43.3002,-65.1023,63.3,57,1,13.91,AR,2022-01-26 22:24:50
220,Lewiston,44.1003,-70.2148,15.75,52,0,11.5,US,2022-01-26 22:22:07
221,Talaya,61.3833,152.75,-40.32,100,100,1.01,RU,2022-01-26 22:24:51
222,Llandrindod Wells,52.2416,-3.3787,44.4,93,100,12.01,GB,2022-01-26 22:24:51
223,Maniitsoq,65.4167,-52.9,14.47,64,98,10.07,GL,2022-01-26 22:24:52
224,Ostrovnoy,68.0531,39.5131,9.81,90,6,16.8,RU,2022-01-26 22:24:52
225,Nicoya,10.1483,-85.452,87.35,35,80,7.29,CR,2022-01-26 22:24:52
226,Te Anau,-45.4167,167.7167,54.93,59,48,3.91,NZ,2022-01-26 22:25:53
227,Bluff,-46.6,168.3333,57.79,62,80,12.73,NZ,2022-01-26 22:22:53
228,Ugoofaaru,5.6667,73.0,79.09,61,100,9.06,MV,2022-01-26 22:25:53
229,Leningradskiy,69.3833,178.4167,-26.7,89,29,3.36,RU,2022-01-26 22:25:53
230,Bilibino,68.0546,166.4372,-34.69,96,27,3.71,RU,2022-01-26 22:25:54
231,Raudeberg,61.9875,5.1352,40.19,92,100,4.0,NO,2022-01-26 22:25:54
232,Grindavik,63.8424,-22.4338,30.15,100,75,5.75,IS,2022-01-26 22:25:54
233,Saint-Philippe,-21.3585,55.7679,71.19,67,87,8.81,RE,2022-01-26 22:25:55
234,Ende,-8.8432,121.6623,78.44,89,100,5.41,ID,2022-01-26 22:25:55
235,Rabo De Peixe,37.8,-25.5833,58.51,91,75,11.5,PT,2022-01-26 22:25:55
236,Sao Filipe,14.8961,-24.4956,75.69,68,83,15.41,CV,2022-01-26 22:25:17
237,Yarada,17.65,83.2667,71.92,94,75,2.3,IN,2022-01-26 22:25:56
238,Tual,-5.6667,132.75,83.46,78,99,5.32,ID,2022-01-26 22:25:56
239,Qui Nhon,13.7667,109.2333,71.2,86,89,7.61,VN,2022-01-26 22:25:56
240,Juliaca,-15.5,-70.1333,57.43,46,90,10.16,PE,2022-01-26 22:25:57
241,Liyang,29.7057,118.2862,44.47,97,100,3.13,CN,2022-01-26 22:25:57
242,Beringovskiy,63.05,179.3167,-4.45,99,100,4.76,RU,2022-01-26 22:22:45
243,Bonoua,5.2741,-3.595,80.22,83,0,5.06,CI,2022-01-26 22:25:57
244,Eston,51.1501,-108.7514,33.93,87,100,16.84,CA,2022-01-26 22:25:58
245,Wangaratta,-36.3667,146.3333,76.46,55,100,10.36,AU,2022-01-26 22:25:58
246,Caravelas,-17.7125,-39.2481,75.51,90,70,4.59,BR,2022-01-26 22:25:58
247,Mogadishu,2.0371,45.3438,76.8,78,87,18.45,SO,2022-01-26 22:23:20
248,Lompoc,34.6391,-120.4579,69.94,63,0,9.22,US,2022-01-26 22:25:59
249,Hohhot,40.8106,111.6522,-0.11,71,0,4.47,CN,2022-01-26 22:25:59
250,San Luis,-33.295,-66.3356,80.64,53,57,23.06,AR,2022-01-26 22:26:00
251,Sergeyevka,53.88,67.4158,3.31,89,100,8.95,KZ,2022-01-26 22:26:00
252,Hokitika,-42.7167,170.9667,64.4,44,0,2.57,NZ,2022-01-26 22:26:00
253,Hamilton,39.1834,-84.5333,25.11,46,0,1.01,US,2022-01-26 22:23:33
254,Opuwo,-18.0607,13.84,74.37,61,82,7.58,NA,2022-01-26 22:26:01
255,Nisia Floresta,-6.0911,-35.2086,81.41,76,29,9.01,BR,2022-01-26 22:24:12
256,Staryy Nadym,65.6118,72.6842,1.45,96,97,9.8,RU,2022-01-26 22:26:01
257,Huron,41.1501,-82.5499,14.43,67,95,5.12,US,2022-01-26 22:26:01
258,Karpogory,64.0019,44.4451,-3.71,100,85,3.15,RU,2022-01-26 22:26:02
259,Rio Cuarto,-33.1307,-64.3499,78.57,65,40,16.11,AR,2022-01-26 22:26:02
260,Zalantun,48.0,122.7167,-4.34,88,20,7.54,CN,2022-01-26 22:26:02
261,Vanavara,60.34,102.2797,-18.71,100,86,0.67,RU,2022-01-26 22:26:03
262,Qaanaaq,77.484,-69.3632,-8.3,60,87,7.92,GL,2022-01-26 22:26:03
263,Pangnirtung,66.1451,-65.7125,-14.8,58,100,3.44,CA,2022-01-26 22:22:40
264,Khatanga,71.9667,102.5,-2.25,84,99,11.05,RU,2022-01-26 22:24:13
265,Bardsir,29.9227,56.5743,28.45,41,0,5.37,IR,2022-01-26 22:26:04
266,Esperance,-33.8667,121.9,62.44,84,81,7.14,AU,2022-01-26 22:26:04
267,Talnakh,69.4865,88.3972,4.21,95,100,17.0,RU,2022-01-26 22:26:04
268,Airai,-8.9266,125.4092,61.57,87,100,2.82,TL,2022-01-26 22:26:05
269,Salalah,17.0151,54.0924,66.83,59,0,3.04,OM,2022-01-26 22:21:26
270,Nikolskoye,59.7035,30.7861,23.72,88,100,9.28,RU,2022-01-26 22:26:05
271,Mulege,26.8833,-111.9833,67.5,46,97,11.59,MX,2022-01-26 22:26:05
272,Kahama,-3.8333,32.6,65.64,82,47,1.63,TZ,2022-01-26 22:26:06
273,Galeana,24.8333,-100.0667,67.32,60,34,2.46,MX,2022-01-26 22:27:06
274,Dubbo,-32.25,148.6167,69.93,68,100,16.11,AU,2022-01-26 22:27:07
275,Sao Joao Da Barra,-21.6403,-41.0511,75.97,82,20,22.88,BR,2022-01-26 22:27:07
276,Semnan,35.5729,53.3971,44.44,26,20,4.61,IR,2022-01-26 22:27:07
277,Mikkeli,61.6886,27.2723,28.51,93,100,8.05,FI,2022-01-26 22:27:08
278,Cangucu,-31.395,-52.6756,74.44,96,100,4.88,BR,2022-01-26 22:27:08
279,Los Llanos De Aridane,28.6585,-17.9182,58.75,74,20,5.99,ES,2022-01-26 22:27:08
280,Neuquen,-38.9516,-68.0591,80.49,34,0,14.97,AR,2022-01-26 22:27:09
281,Flinders,-34.5833,150.8552,76.37,66,88,5.99,AU,2022-01-26 22:27:09
282,Saurimo,-9.6608,20.3916,64.85,96,100,3.67,AO,2022-01-26 22:27:10
